,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,kelas
2071,P,EKO,G2,SRJN,LL,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2080,P,EKO,G5,SRJN,PDG,PDG,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2083,P,EKO,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
2087,P,EKO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,IPK_SM-LLW
2088,L,EKO,G4,SRJN,LL,PDG,IPS1_CUM,IPS2_SM,IPK_SM-LLW
2090,L,EKO,G5,SRJN,GRD,LL,IPS1_SM,IPS2_M,IPK_SM-LTW
2091,L,EKO,G4,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
2094,L,EKO,G4,SRJN,GRD,PSN,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2095,L,EKO,G4,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,IPK_SM-LTW
2096,P,EKO,G7,SMTA,LL,PDG,IPS1_SM,IPS2_CUM,IPK_CUM-LLW
2097,P,EKO,G3,SD,PDG,PDG,IPS1_SM,IPS2_SM,IPK_SM-LTW
2103,P,EKO,G1,LL,LL,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2111,P,EKO,G4,SRJN,PNS,PNS,IPS1_M,IPS2_CUM,IPK_SM-LTW
2114,L,EKO,G4,SRJN,LL,PNS,IPS1_M,IPS2_KM,IPK_SM-LLW
2115,L,EKO,G2,SRJN,PDG,LL,IPS1_CUM,IPS2_CUM,IPK_CUM-LLW
2118,P,EKO,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
2119,P,EKO,G3,SMTA,LL,PSN,IPS1_M,IPS2_SM,IPK_SM-LLW
2121,P,EKO,G3,SMTA,LL,PDG,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2123,P,EKO,G3,SMTA,LL,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LTW
2129,L,EKO,G7,SRJN,PDG,LL,IPS1_SM,IPS2_M,IPK_SM-LLW
2130,P,EKO,G6,SRJN,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
2131,L,EKO,G5,SMTA,LL,LL,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2134,P,EKO,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,IPK_CUM-LTW
2137,P,EKO,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_CUM,IPK_CUM-LTW
2138,L,EKO,G4,SRJN,LL,LL,IPS1_SM,IPS2_M,IPK_SM-LLW
2139,L,EKO,G4,SMTA,PNS,PNS,IPS1_SM,IPS2_M,IPK_SM-LLW
2140,P,EKO,G3,SMTA,PDG,PDG,IPS1_CUM,IPS2_SM,IPK_CUM-LLW
2141,P,EKO,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,IPK_SM-LTW
2142,L,EKO,G4,SMTA,LL,PNS,IPS1_CUM,IPS2_SM,IPK_SM-LTW
2143,L,EKO,G2,SD,BPN,BPN,IPS1_CUM,IPS2_SM,IPK_SM-LLW
2147,L,EKO,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,IPK_SM-LTW
2148,L,EKO,G4,SMP,LL,PS,IPS1_SM,IPS2_KM,IPK_M-LLW
2149,P,EKO,G3,SMTA,PDG,LL,IPS1_SM,IPS2_SM,IPK_CUM-LTW
2151,P,EKO,G4,SMTA,PS,PS,IPS1_SM,IPS2_SM,IPK_SM-LLW
2153,P,EKO,G6,SRJN,PS,PS,IPS1_M,IPS2_SM,IPK_SM-LTW
2154,L,EKO,G4,SRJN,LL,GRD,IPS1_SM,IPS2_SM,IPK_SM-LTW
2156,L,EKO,G4,SMTA,LL,PSN,IPS1_SM,IPS2_SM,IPK_SM-LLW
