,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
172,L,AKU,G3,SMP,PSN,PSN,IPK_SM
173,L,AKU,G3,SRJN,PDG,ABRI,IPK_CUM
174,P,AKU,G6,SRJN,PNS,PNS,IPK_CUM
175,L,AKU,G4,SRJN,LL,PS,IPK_SM
176,L,AKU,G4,SRJN,GRD,GRD,IPK_CUM
177,P,AKU,G4,SMTA,LL,PS,IPK_SM
178,L,AKU,G4,SRJN,LL,PSN,IPK_SM
179,L,AKU,G4,SRJN,LL,GRD,IPK_SM
180,P,AKU,G4,SMTA,PS,PNS,IPK_SM
181,P,AKU,G5,SRJN,LL,LL,IPK_SM
182,P,AKU,G4,SMTA,LL,PDG,IPK_SM
183,L,AKU,G3,SMTA,LL,PNS,IPK_CUM
184,P,AKU,G3,SMTA,LL,BPN,IPK_SM
185,P,AKU,G2,SD,LL,BPN,IPK_CUM
186,L,AKU,G4,SMTA,LL,PDG,IPK_SM
187,L,AKU,G3,SRJN,PSN,PSN,IPK_CUM
188,L,AKU,G4,SMTA,PNS,PNS,IPK_SM
189,P,AKU,G3,SMTA,LL,PSN,IPK_SM
190,L,AKU,G3,SMTA,PDG,PDG,IPK_SM
191,P,AKU,G5,SRJN,PDG,PNS,IPK_SM
192,P,AKU,G4,SMTA,LL,PS,IPK_SM
193,P,AKU,G3,SMTA,PDG,LL,IPK_SM
194,P,AKU,G2,SD,LL,BPN,IPK_KM
195,P,AKU,G4,SD,BPN,BPN,IPK_CUM
196,P,AKU,G3,SMTA,LL,PNS,IPK_CUM
197,P,AKU,G4,SRJN,PDG,PS,IPK_CUM
198,P,AKU,G4,SMP,LL,PSN,IPK_CUM
199,L,AKU,G4,SMP,LL,PNS,IPK_SM
200,L,AKU,G6,SRJN,PNS,PNS,IPK_SM
201,L,AKU,G3,SRJN,PSN,PSN,IPK_SM
202,L,AKU,G6,SRJN,GRD,GRD,IPK_SM
203,L,AKU,G3,SMP,PDG,PDG,IPK_SM
204,L,AKU,G3,SD,LL,BPN,IPK_SM
205,L,AKU,G4,SRJN,GRD,PNS,IPK_SM
206,L,AKU,G4,SMTA,PNS,PNS,IPK_CUM
207,L,AKU,G4,SRJN,PNS,GRD,IPK_SM
208,L,AKU,G1,SRJN,GRD,PS,IPK_SM
209,L,AKU,G2,SRJN,LL,LL,IPK_SM
210,P,AKU,G2,SMTA,PNS,PNS,IPK_SM
211,P,AKU,G3,LL,LL,PSN,IPK_SM
212,L,AKU,G4,SRJN,GRD,GRD,IPK_SM
213,P,AKU,G5,SRJN,LL,PNS,IPK_CUM
214,L,AKU,G4,SRJN,LL,PS,IPK_CUM
215,P,AKU,G4,SMTA,LL,LL,IPK_SM
216,L,AKU,G2,SMTA,LL,PDG,IPK_CUM
