,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,STATUS_LULUS
393,P,EKO,G2,SMTA,PDG,PDG,LTW
394,L,EKO,G2,LL,BPN,BPN,LLW
395,L,EKO,G2,SMP,PDG,LL,LLW
396,P,EKO,G4,SRJN,LL,PNS,LLW
397,L,EKO,G2,LL,LL,BPN,LLW
398,P,EKO,G1,LL,BPN,BPN,LLW
399,P,EKO,G3,SMP,LL,PNS,LTW
400,P,EKO,G3,SRJN,GRD,GRD,LLW
401,P,EKO,G3,SMP,PDG,PDG,LTW
402,L,EKO,G2,SMTA,LL,PSN,LLW
403,P,EKO,G4,SRJN,PDG,GRD,LTW
404,L,EKO,G3,SD,LL,PDG,LLW
405,P,EKO,G3,SD,LL,PDG,LLW
406,P,EKO,G4,SMTA,LL,PNS,LLW
407,P,EKO,G2,SMP,PDG,PDG,LLW
408,L,EKO,G2,SMTA,PDG,LL,LLW
409,P,EKO,G3,SD,PDG,PSN,LLW
410,L,EKO,G3,SMTA,LL,PNS,LLW
411,L,EKO,G2,SMP,PDG,PDG,LTW
412,P,EKO,G4,SRJN,PS,PS,LTW
413,L,EKO,G4,SRJN,GRD,PNS,LLW
414,P,EKO,G3,SRJN,PNS,GRD,LLW
415,P,EKO,G3,SMTA,PSN,PSN,LLW
416,L,EKO,G2,SMTA,PDG,PDG,LLW
417,L,EKO,G2,SMP,PDG,PDG,LLW
418,L,EKO,G3,SMTA,LL,PSN,LLW
419,L,EKO,G4,SRJN,GRD,PSN,LLW
420,L,EKO,G3,SD,LL,PDG,LLW
421,P,EKO,G3,SMTA,PDG,PDG,LTW
422,P,EKO,G2,SRJN,LL,PDG,LLW
423,P,EKO,G2,SMTA,LL,PS,LTW
424,P,EKO,G4,SD,PDG,PDG,LLW
425,L,EKO,G3,SRJN,GRD,GRD,LLW
426,L,EKO,G5,SRJN,GRD,ABRI,LLW
427,L,EKO,G7,SMTA,PNS,PS,LLW
428,L,EKO,G4,SRJN,PNS,GRD,LLW
429,L,EKO,G3,SMTA,LL,PSN,LLW
430,L,EKO,G5,SMTA,PS,PNS,LLW
431,L,EKO,G3,SMTA,PSN,PSN,LLW
432,P,EKO,G4,SRJN,PS,PNS,LTW
433,L,EKO,G3,SMTA,LL,PS,LLW
434,L,EKO,G3,SMTA,PNS,PNS,LLW
435,P,EKO,G3,SMTA,LL,PDG,LTW
436,L,EKO,G2,SMTA,LL,PS,LLW
437,P,EKO,G3,SMTA,PDG,GRD,LLW
438,L,EKO,G4,LL,LL,PS,LLW
439,L,EKO,G2,SMTA,LL,PS,LTW
440,L,EKO,G2,SMTA,LL,PDG,LLW
441,L,EKO,G5,SRJN,PDG,PS,LTW
442,P,EKO,G2,SMTA,PS,LL,LTW
443,P,EKO,G4,SMTA,PDG,PDG,LLW
444,L,EKO,G4,SRJN,PNS,PS,LTW
445,L,EKO,G2,SMTA,LL,PDG,LTW
446,P,EKO,G4,SRJN,PNS,PNS,LTW
447,P,EKO,G4,SMTA,LL,PS,LLW
448,P,EKO,G4,SRJN,GRD,GRD,LLW
449,P,EKO,G2,SRJN,PNS,PNS,LTW
450,P,EKO,G2,SMP,LL,PSN,LTW
451,L,EKO,G2,SMTA,PDG,PDG,LLW
452,P,EKO,G2,SMTA,PS,PS,LLW
453,L,EKO,G4,SRJN,GRD,GRD,LTW
454,P,EKO,G4,SMTA,LL,PNS,LTW
455,P,EKO,G3,SRJN,GRD,GRD,LTW
456,L,EKO,G3,SD,PDG,PDG,LTW
457,P,EKO,G3,SRJN,LL,PS,LTW
458,L,EKO,G2,SRJN,GRD,PDG,LTW
459,L,EKO,G4,SMTA,LL,PNS,LLW
460,P,EKO,G3,SRJN,PS,PDG,LTW
461,L,EKO,G4,SRJN,GRD,PDG,LTW
462,L,EKO,G2,SMP,BPN,BPN,LTW
463,L,EKO,G3,SRJN,GRD,GRD,LLW
464,L,EKO,G4,SMTA,LL,PS,LLW
465,L,EKO,G2,SMP,LL,BPN,LTW
466,L,EKO,G4,SRJN,LL,PNS,LLW
467,L,EKO,G3,SMTA,PNS,PNS,LLW
468,P,EKO,G3,SRJN,PNS,GRD,LLW
469,P,EKO,G2,SMP,LL,PDG,LTW
470,P,EKO,G3,SRJN,LL,PS,LTW
471,L,EKO,G3,SMTA,LL,PSN,LTW
472,P,EKO,G4,SRJN,LL,PS,LLW
473,P,EKO,G2,SD,BPN,BPN,LTW
474,P,EKO,G1,SMP,BPN,BPN,LTW
475,L,EKO,G4,SRJN,GRD,PSN,LTW
476,L,EKO,G3,SMTA,PDG,PDG,LLW
477,P,EKO,G5,SRJN,GRD,GRD,LLW
478,L,EKO,G4,SMTA,LL,PNS,LTW
479,L,EKO,G5,SRJN,PDG,PNS,LLW
480,P,EKO,G4,SMTA,PDG,GRD,LTW
481,L,EKO,G4,SD,PDG,PDG,LTW
482,P,EKO,G1,SD,BPN,BPN,LLW
483,P,EKO,G5,SMTA,LL,PNS,LTW
484,L,EKO,G3,SMTA,LL,PSN,LLW
485,L,EKO,G4,SRJN,GRD,GRD,LLW
486,L,EKO,G4,SRJN,LL,LL,LLW
487,P,EKO,G3,SRJN,GRD,GRD,LLW
488,P,EKO,G3,SMTA,LL,PSN,LTW
489,P,EKO,G3,SMTA,PDG,PDG,LLW
490,L,EKO,G4,SMP,PDG,PNS,LLW
491,P,EKO,G4,SMTA,PDG,PDG,LLW
492,P,EKO,G1,SMTA,PSN,PSN,LLW
493,P,EKO,G2,SRJN,LL,PS,LLW
494,L,EKO,G5,SRJN,LL,PNS,LLW
495,P,EKO,G3,SRJN,GRD,PSN,LTW
496,P,EKO,G3,SMP,LL,PSN,LTW
497,L,EKO,G3,SD,LL,PDG,LLW
498,P,EKO,G2,SMTA,LL,PSN,LTW
499,P,EKO,G2,SRJN,LL,PS,LTW
500,L,EKO,G3,SMTA,LL,ABRI,LTW
501,P,EKO,G2,SMP,BPN,BPN,LTW
502,P,EKO,G4,SRJN,LL,GRD,LLW
503,P,EKO,G4,SRJN,GRD,GRD,LTW
504,L,EKO,G3,SRJN,LL,LL,LLW
