,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IPK_TERAKHIR
402,P,MTK,G3,SD,BPN,GRD,IPK_SM
403,P,MTK,G3,SRJN,PNS,PNS,IPK_SM
404,P,MTK,G1,SMP,PDG,BPN,IPK_M
405,P,MTK,G1,SMTA,LL,PS,IPK_SM
406,L,MTK,G1,SD,BPN,BPN,IPK_SM
407,P,MTK,G2,SMTA,LL,PDG,IPK_SM
408,L,MTK,G3,SMTA,LL,GRD,IPK_SM
409,P,MTK,G2,SMTA,PDG,PDG,IPK_SM
410,P,MTK,G2,SD,LL,PSN,IPK_SM
411,P,MTK,G1,SMTA,LL,LL,IPK_SM
412,P,MTK,G3,SRJN,GRD,GRD,IPK_CUM
413,P,MTK,G2,SMP,PDG,PDG,IPK_KM
414,L,MTK,G4,SMTA,LL,ABRI,IPK_SM
415,P,MTK,G3,SMTA,PS,PS,IPK_SM
416,P,MTK,G3,SD,LL,PSN,IPK_SM
417,P,MTK,G5,SRJN,PDG,PDG,IPK_SM
418,L,MTK,G2,SRJN,PDG,PS,IPK_KM
419,P,MTK,G5,SMTA,PDG,PNS,IPK_SM
420,P,MTK,G3,LL,BPN,BPN,IPK_M
421,P,MTK,G2,LL,PDG,LL,IPK_SM
422,P,MTK,G2,SD,PDG,PDG,IPK_SM
423,P,MTK,G3,SRJN,GRD,GRD,IPK_KM
424,L,MTK,G4,SMTA,PDG,GRD,IPK_KM
425,L,MTK,G3,SMTA,LL,PDG,IPK_SM
426,P,MTK,G4,SRJN,GRD,PDG,IPK_M
427,P,MTK,G2,SMTA,LL,PNS,IPK_M
428,L,MTK,G2,SMTA,PDG,PDG,IPK_KM
429,P,MTK,G3,SMTA,LL,PS,IPK_M
430,P,MTK,G3,SMTA,LL,PNS,IPK_M
431,P,MTK,G3,SMTA,PDG,PDG,IPK_SM
432,P,MTK,G3,SRJN,PS,PDG,IPK_M
433,P,MTK,G5,SMTA,PDG,PDG,IPK_M
434,L,MTK,G3,SMTA,PDG,BPN,IPK_KM
435,P,MTK,G4,SMTA,BPN,PNS,IPK_M
436,P,MTK,G2,SMTA,PDG,GRD,IPK_KM
437,P,MTK,G3,SRJN,GRD,GRD,IPK_M
438,P,MTK,G3,SMTA,LL,ABRI,IPK_M
439,L,MTK,G2,SD,LL,PDG,IPK_M
440,P,MTK,G4,SRJN,GRD,PSN,IPK_M
441,P,MTK,G3,SMTA,LL,PNS,IPK_M
