,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
198,L,AKU,G4,SMTA,PNS,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
199,L,AKU,G4,SRJN,PNS,GRD,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
200,L,AKU,G1,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
201,L,AKU,G2,SRJN,LL,LL,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
202,P,AKU,G2,SMTA,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
203,P,AKU,G2,SMTA,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
204,P,AKU,G3,LL,LL,PSN,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
205,L,AKU,G2,SD,PDG,PDG,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
206,L,AKU,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
207,P,AKU,G5,SRJN,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
208,L,AKU,G4,SRJN,LL,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
209,L,AKU,G3,SMP,LL,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
210,L,AKU,G4,SRJN,PS,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
211,L,AKU,G2,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
212,L,AKU,G3,SRJN,LL,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_B,LTW
213,P,AKU,G3,SMP,PS,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
214,P,AKU,G4,SRJN,PS,GRD,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LTW
215,P,AKU,G2,SRJN,PDG,PS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
216,L,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
217,L,AKU,G2,LL,LL,PDG,IPS1_SM,IPS2_M,SKS1_B,SKS2_SB,LLW
218,L,AKU,G6,SMTA,PDG,PS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LLW
219,P,AKU,G2,SMTA,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
220,P,AKU,G1,SD,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
221,P,AKU,G4,SMP,LL,BPN,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
222,L,AKU,G5,SRJN,GRD,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
223,L,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,SKS1_B,SKS2_SB,LTW
224,L,AKU,G7,SRJN,LL,LL,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
225,L,AKU,G4,SRJN,GRD,GRD,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LLW
226,P,AKU,G3,SMTA,LL,PNS,IPS1_CUM,IPS2_CUM,SKS1_B,SKS2_SB,LTW
227,L,AKU,G5,SMTA,LL,PNS,IPS1_SM,IPS2_SM,SKS1_B,SKS2_SB,LLW
