,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
887,L,KOM,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
888,L,KOM,G3,SD,PDG,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LC
889,L,KOM,G5,SRJN,PSN,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
890,L,KOM,G5,SMTA,LL,PS,IPS1_M,IPS2_M,SKS1_SB,SKS2_SB,LLW
891,P,KOM,G3,SMTA,LL,PS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
892,P,KOM,G3,SMTA,PNS,ABRI,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
893,P,KOM,G3,SRJN,PSN,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
894,P,KOM,G2,SMTA,LL,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LC
895,L,KOM,G4,SRJN,GRD,PDG,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
896,L,KOM,G4,SMTA,PDG,PDG,IPS1_M,IPS2_KM,SKS1_SB,SKS2_B,LLW
897,L,KOM,G7,SMTA,PDG,PDG,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
898,P,KOM,G4,SRJN,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
899,P,KOM,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
900,P,KOM,G1,SMTA,PDG,LL,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
901,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
902,P,KOM,G4,SRJN,GRD,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
903,P,KOM,G5,SMP,PDG,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
904,P,KOM,G4,SMTA,LL,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
905,P,KOM,G3,LL,BPN,BPN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
906,P,KOM,G4,SRJN,GRD,PDG,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LLW
907,P,KOM,G3,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
908,P,KOM,G4,SMTA,PDG,GRD,IPS1_M,IPS2_SM,SKS1_SB,SKS2_B,LTW
909,P,KOM,G4,SRJN,GRD,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
910,P,KOM,G4,SRJN,PNS,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
911,P,KOM,G5,SRJN,PNS,PS,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,LTW
912,P,KOM,G4,SMP,LL,PNS,IPS1_M,IPS2_SM,SKS1_SB,SKS2_SB,LLW
913,P,KOM,G3,SMTA,LL,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
914,P,KOM,G3,SMTA,PNS,BPN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
915,P,KOM,G3,SMTA,PS,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
916,L,KOM,G1,SMTA,LL,PDG,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
