,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,SKS_S1,SKS_S2,STATUS_LULUS
2064,P,EKO,G2,SMTA,LL,PSN,IPS1_CUM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
3083,P,KOM,G3,SMTA,PDG,PSN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1205,P,AKU,G5,SMTA,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
6180,L,HUK,G4,SMTA,LL,PDG,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LLW
5627,L,HUK,G4,SMP,PDG,PNS,IPS1_KM,IPS2_M,SKS1_B,SKS2_B,LTW
2087,P,EKO,G3,SMTA,PDG,PDG,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LLW
3310,P,KOM,G4,SRJN,GRD,GRD,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
3153,P,KOM,G3,SMTA,LL,PNS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
6092,L,HUK,G4,SRJN,GRD,PDG,IPS1_M,IPS2_M,SKS1_B,SKS2_B,LLW
3247,P,KOM,G4,SRJN,PNS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
2023,L,EKO,G4,SMP,PDG,PNS,IPS1_SM,IPS2_M,SKS1_SB,SKS2_SB,LLW
3295,P,KOM,G2,SD,BPN,BPN,IPS1_KM,IPS2_CUM,SKS1_SB,SKS2_B,LLW
6062,P,HUK,G3,SRJN,LL,PS,IPS1_M,IPS2_M,SKS1_B,SKS2_SB,LC
2185,L,EKO,G6,SRJN,GRD,GRD,IPS1_CUM,IPS2_M,SKS1_SB,SKS2_SB,LLW
3266,P,KOM,G4,SRJN,LL,PNS,IPS1_M,IPS2_M,SKS1_SB,SKS2_B,LLW
3372,P,KOM,G2,SD,LL,BPN,IPS1_CUM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
5166,P,HUK,G4,SMTA,PDG,PNS,IPS1_KM,IPS2_SM,SKS1_B,SKS2_B,LLW
6023,P,HUK,G4,SMTA,PDG,PSN,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LC
985,L,AKU,G4,SRJN,GRD,PNS,IPS1_CUM,IPS2_M,SKS1_B,SKS2_SB,LLW
801,L,AKU,G6,SMTA,LL,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LTW
2028,L,EKO,G5,SRJN,LL,PNS,IPS1_M,IPS2_KM,SKS1_SB,SKS2_SB,LLW
6325,L,HUK,G4,SRJN,GRD,ABRI,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
6032,P,HUK,G3,SRJN,GRD,PS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_SB,LC
1191,P,AKU,G7,SRJN,PS,PS,IPS1_SM,IPS2_CUM,SKS1_SB,SKS2_SB,LTW
2034,P,EKO,G3,SMP,LL,PSN,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LTW
3379,L,KOM,G4,SRJN,PS,PS,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_SB,LLW
1787,P,EKO,G3,LL,PDG,LL,IPS1_SM,IPS2_SM,SKS1_SB,SKS2_B,LLW
6179,L,HUK,G4,SRJN,PNS,PNS,IPS1_KM,IPS2_KM,SKS1_B,SKS2_B,LLW
